,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
217,ue,ɛ,105,0.004076719987575711,0.004068432680365973,0.0054109050187766015
218,ue,ə,71,0.0008069649027095836,0.0008066394815896727,0.0009005717088519633
219,ue,i,5,0.00015616703626198582,0.0001561548434597635,0.00017091261729520189
220,ue,eɪ,21,0.0016401124648547328,0.0016387689492165004,0.0019244871765366296
221,ue,ɪ,9,0.00018922271513571474,0.0001892048147757677,0.0002387228755164648
222,ph,f,1176,0.08900325437069553,0.08526283234920072,0.10760722499553896
223,ph,p,14,0.0007451961462713578,0.0007449186254862888,0.0010186640491295733
224,ph,v,7,0.0006623769871309614,0.0006621577123175185,0.0008774269899836285
225,nn,n,1771,0.03049399934569623,0.030038298280181785,0.04039674969911762
226,ff,f,1479,0.11193521531824718,0.106101934525341,0.13390752366951297
227,cq,k,49,0.0012964334850248704,0.0012955938407513575,0.001492176972403745
228,sce,s,7,0.00014841828513272834,0.00014840727222877295,0.00018672936575848172
229,ei,i,618,0.019302245681981446,0.01911832035077764,0.02092514133435434
230,ei,aɪ,1723,0.15098142306344198,0.1406149897862495,0.16763205045844395
231,ei,ɪ,73,0.0015348064672119084,0.0015336298555262212,0.0019350064083887661
232,ei,eɪ,228,0.01780693533270853,0.01765024919212746,0.020727557871514063
233,ei,ɛ,43,0.0016695138996738624,0.0016681218105359834,0.002218556723359112
234,ei,ə,51,0.0005796508456082924,0.000579482912948513,0.0006469630226084352
235,ay,eɪ,1381,0.10785691971258982,0.10242744615319804,0.12028560020097372
236,ay,aɪ,92,0.008061689449702068,0.008029367627437334,0.009572090154243233
237,ay,i,80,0.002498672580191773,0.002495556088176275,0.002731404375216097
238,ay,ɛ,8,0.00031060723714862557,0.0003105590087071891,0.0004130350508070484
239,dd,d,549,0.016972732331663885,0.016830304840374608,0.02231988661769884
240,ds,z,45,0.0017247326664367024,0.001723247023031201,0.0022218645652687012
241,q,k,1244,0.03291353582389671,0.03238348462451232,0.03729709768831918
242,ieu,u,11,0.0015497323189630882,0.0015485327230412838,0.0017828220970985647
243,nne,n,125,0.002152315030046318,0.002150002118200863,0.002891412043765328
244,eo,oʊ,14,0.0007574527944597738,0.0007571660718686554,0.000995001999250931
245,eo,ɔ,11,0.0009066183136899365,0.0009062075835380904,0.0010967936286169608
246,eo,i,2,6.246681450479433e-05,6.246486353462536e-05,6.83682496114271e-05
247,eo,ə,5,5.6828514275322786e-05,5.6826899596397816e-05,6.344432580640761e-05
248,eo,ɛ,23,0.0008929958068022985,0.0008925973232585375,0.0011871302085135456
249,sch,ʃ,938,0.11040489642184557,0.10472472036248692,0.1175813814134234
250,sch,s,16,0.00033924179458909336,0.0003391842651020787,0.000426769266401815
251,fe,f,157,0.011882237190645576,0.011812197681771927,0.014907759672214676
252,ght,t,626,0.013195059230217951,0.013108762732208293,0.017173747814175737
253,pe,p,339,0.01804439239899931,0.017883524642188953,0.02445542774934417
254,ag,æ,81,0.003973704866562009,0.003965830554613485,0.005678685626790687
255,ag,ɑ,10,0.00043045930007317806,0.00043036667904749646,0.0005264076111912226
256,gg,ɡ,524,0.04086725939790984,0.0400542689163492,0.055034011117338716
257,eh,ɛ,200,0.007765180928715639,0.007735187082984905,0.010287588832546194
258,eh,ə,14,0.0001591198399709038,0.00015910718175188453,0.00017763502758200356
259,eh,eɪ,17,0.0013277100905966885,0.0013268294629469157,0.0015581612576398528
260,ew,u,491,0.06917441532826148,0.06688677619747097,0.07700658877543037
261,ew,oʊ,4,0.00021641508413136395,0.0002163916697650502,0.00028436316950401037
262,pp,p,1145,0.060946399105764625,0.059161339133996196,0.08090216462881787
